,Translated Tweets
24,@PLDT_Cares We don't even have the exact speed allocated to our 1699 package. It's always at 20mbps even non-peak hours. Peak hours it goes 8-9mbps only. Such congestion or downgrade to our speed package. We can't fully use it decently in our WFH and online classes.
25,"So ou's style is broken, it's like pandemic online classes with synchronous and asynchronous classes, so you can only afford 1 meeting per week. But I'm not going to die with the requirements, why do you need high grades to be arrogant?"
26,"@itsmeluigiee @Converge_CSU I feel you! 
My site transfer request has been pending from their for more than 3 weeks now! Unacceptable! Unimaginable esp if one is remotely working and other members of the fam are reviewing/attending online classes!"
27,"Online Classes during the pandemic is not a total success. Many students suffered from failing grades not because some of them are not complying to the requirements of each subjects but rather, learning is not really efficient. Tama nga yung naglaban ng Academic Freeze Noon. 😒"
28,@rissyperidone It's true. I WEAR GLASSES AFTER BE. My question is: have you been spending a lot of time in front of your laptop? Me: ughhhh laptop and ipad for 6 months because my BE doesn't have online classes yet? 🥲 now I have astigmatism and near sightedness
29,"My quota for my tiredness now.
4 Online Classes
3 Meetings
+ Checking and Verifying online forms of more than 100 students that I handle around 15 forms of teachers from 7:30 AM to 6 PM tonight.
🥴🥺😭"
30,"Hi UPD moots!

The memo on the conduct of online classes is still in effect until Saturday. Please wait for a new memo from the Office of the Chancellor to reiterate this."
31,"Is it normal to cry in a Zoom meeting? Is it normal to get cold hands and feet when seeing the Zoom interface? I don't know, I think it's just my fear of what happened back home when there were online classes."
32,@wayneuyseco Take meds too. Good online classes now.
33,Online classes 💻✏️📗 https://t.co/8prK9lHWsw
34,"I understand what PUVs are going through. But this has affected so many people that it's not just commuters who are affected. Because the classes and wfh are back online, other offices are also affected, small businesses such as cafeterias."
35,Online classes for a week because of the transport strike. https://t.co/bcePiKu6eM
36,wfh ft. online classes for the whole weeeeek. 🥳
37,"📣 JUST IN:

📌  In response to the CHED Mem dated 03 Mar 2023 re implementation of flexible learning during the week-long nationwide transport strike, classes for all programs in MMC CAST (except those at the internship/clerkship level) will transition to full-online mode of… https://t.co/ngABTFTose"
38,"Informed my babies that we will have online classes next week cause of the nationwide strike, I did not expect thier responses, because knowing them, that they have their own car and drivers going to and from school, I kinda know they'll be bratty abt it-"
39,"Remember during Lockdown all of us were forced to continue the semester through online classes...

This is me during PE (swimming) exam. About to do the butterfly... in the storage room... Without any stands or equipment or even knowledge of film making. https://t.co/1fdtXJZb7c"
40,"buti dlsu decided to conduct full online classes for next week. thank you for understanding huhu, really dedz on the cost if ever not pwpwdjfn"
41,"The sudden online classes both my nieces today, then they asked for their allowance. What is that, buying a recess AT a sari sari store???🤣"
42,"Still in denial. My partner has left me in online classes, reviews and exams. No one follows me to my room at night. Run free Chippy… https://t.co/J69IzLnsIE"
43,Hi! I just survived my first ever f2f law school class after 3 years of online classes. It was nerve wracking at first but I survived. 🥺
44,Hi! I just survived my first ever f2f law school class after 3 years of online classes. It was nerve wracking at first but I survived. 🥺
45,"During the online classes, we experienced how unfair students are – from parents doing their activities and attending online classes (off cam ofcourse). While these students were just playing along the streets or playing online games or whatsoever."
46,"Lucho is learning about the go grow glow..

I feel like I want to transform as Ruffa Mae Quinto.

#Online #OnlineClasses #preschool #toddler #Wednesday #school #kids #MEMES"
47,"I thought my enrolled classes would be void 😌

just now experienced hassle with online payment 😑 thank u ma'am gwen, one chat away 💛 https://t.co/pVW7LgY0LI"
48,"Sana. Unpopular opinion but online classes in general, are tedious and draining than actual f2f classes. Imagine having work, school and social media online. The length of the time we spend on screens. Nakakapagod. Course packs and modules are for Open Uni teaching for a reason."
49,@Juris_Dogtor I also have one. Includes online classes and exams.
50,"""Leadership is not wielding authority - it is empowering people."" -Becky Brodin 

Graduating once more from my academic project this pandemic. Spent most of my weekends on online classes, studying in between night shifts and today makes it all worth it! To God be the glory! 👩‍🎓⚕️ https://t.co/Ebb3XQnRRe"
51,hello online classes. ✨ https://t.co/fGZWP9BAol
52,"All classes in National University Manila, both face-to-face and online, are suspended on November 1 and 2, 2022 in observance of All Saints Day and All Souls Day, respectively. #WalangPasok https://t.co/9qVKOT5bFP"
53,"When I got home from work, I was told that classes were suspended so we would just go to Hallyuween. I said I will sleep first. Then, I hadn't slept for an hour, I was woken up to pay for the tickets they bought online for BeTS. No more students! No more tuition. https://t.co/8Am7itz1B1"
54,ok na moved the car to higher grounds done with online classes and now just drinking my wine given to me thanks chief nakaka relax
55,@iamDreaMbOi Waley doc I enrolled at the Goethe Institut hehehe. Maybe the Alliance Francaise Manille also has online classes for French hehehehe
56,"In online classes, I was getting low but when I did face to face, I was blessed with the grade.

Midterm Grade as of October 18:
F2F &gt;&gt;&gt;&gt;&gt; Online Classes https://t.co/eLoTpyVBeP"
57,"Waiting to start a program  to campaign against online sexual abuse and exploitation of children.  Happy to see children doing face to face classes! @ Oranbo Elementary School,Pasig City https://t.co/kEYmFQe0kR"
58,"Midterms done. Huhu, the speed of the semester will be the same until the end. Plus hopefully extended online classes"
59,Are online classes really no longer a trend and this neighbor of ours wants to be bored with videoke like a little consideration for those who work from home?? 🤷🏻‍♀️
60,"📣 JUST IN.

Following the pronouncement of the Office of the Mayor of City of Manila, in-person and online classes at MMC CAST are suspended tomorrow, 26 Sept. 2022 (Monday), due to inclement weather.

Further , MMC CAST management suspends office operations tomorrow. https://t.co/ckQdBKqzpu"
61,Hopefully also online classes 🥺
62,what classes are good to take? apart from the online class of course. it seems like my only purpose is to work then what? 🙁
63,"It seems that ""no days off"" will not be a trend these days... It will become ""due to inclement weather, online classes today"" instead."
64,"two things: 1) kung kayang F2F exam, why not F2F classes too? 2) maybe exams (esp if online) should be retooled to be not about the time limits &amp; correct answers so much as synthesis of things that were learned in class"
65,State of public health emergency is still pla until the end of this year.. Talk to your troop head of DepEd why they still pursue face to face in classes? At least elementary and high school should still be in Online Classes.
66,Tbh kinda sad we have online classes all week 😔 I learn more onsite
67,"I pity kids who were forced into distance learning by the pandemic. I, as an adult, struggled with adjusting to online classes in UPOU because I have a full-time job. How much more these kids whose parents cannot guide them enough?W"
68,"ONLINE ENROLLMENT PROCEDURES and SCHEDULES are now posted on our website. 

Classes for College level will start on September 8, 2022. Keep posted for updates regarding the upper levels enrollment."
69,That I am overwhelmed by the schedule of F2F &amp; online classes by Thea &amp; Krader. I can't seem to do anything else 😣
70,Can't find the logic of vinset3.0 talking about diff online platforms and applications when we were about to go back to f2f classes. Should have just discussed transition instead or other relevant topics now that it's f2f na. Hayyy deped. Parang a little too late🤦‍♀️🤦‍♀️
71,"Puringina of neolib eduk really, my salary only goes to the cost of acads because the online classes are so anti-estu, it's so hard to cry that you don't know how to do it, even if it's a joke, the difficulty is still heavy"
72,"Hello @PLDT_Cares wala po kaming wifi since Wednesday night. We are working from home and taking online classes. Estimated restoration should have been Thursday morning, according to your advisory. Can someone please reply?"
73,online classes til now sa review HAAHA nap is lyf
74,Attending online Improv classes makes me miss the face-to-face PETA workshops pre-pandemic. Those were the carefree and genuinely happy days of my “year on”. 🥹
75,"Mode of learning delivery: 𝗛𝗶-𝗳𝗹𝗲𝘅 and 𝗙𝘂𝗹𝗹𝘆 𝗼𝗻𝗹𝗶𝗻𝗲
— Hi-flex set up: simultaneous online and on-site classes; on-site classes will be scheduled every other week
— Fully online for 𝘰𝘶𝘵-𝘰𝘧-𝘵𝘩𝘦-𝘤𝘰𝘶𝘯𝘵𝘳𝘺 𝘢𝘯𝘥 𝘰𝘶𝘵-𝘰𝘧-𝘵𝘰𝘸𝘯 students.

[2/4]"
76,oh to have the privilege with resources for online classes putangina ng neolib efuk why did I still enter eh I want to drop kingina
77,"Chiang Kai Shek College landed in the front page of broadsheets including the Philippine Star, Manila Standard, Daily Tribune and tabloid Pilipino Mirror today as it opened physical classes after more than 2 years of online classes. 
It was also seen in Philippine Daily Inquirer. https://t.co/XMVI1D9x42"
78,"Thank you, Junior High School Student Executive Council together with some parents, for donating 140 sets of webcams to be used during the hybrid and online classes of CKS College this Academic Year 2022-2022. https://t.co/SuYxpMeCSo"
79,"Experience the Lycean journey as we commence the hybrid learning modality this coming semester through face-to-face classes and online learning.
https://t.co/jE6AEwYQpG"
80,"Are suspended classes still in fashion when it rains heavily?
..
Even online classes
...
Even if it's an internship haha"
81,"First week in grad school - requirements, deadlines, readings, and classes. 🥹🤯

#gradschool #OnlineClasses"
82,"JANUARY 2023 ALE REVIEW FACE-TO-FACE Classes!
Register online here: https://t.co/FbxPZT1lSE
ENROLL NOW and avail of huge EARLY BIRD DISCOUNTS + SPECIAL RATES for UAPSA/UAPGA, ASAPhil, JrPIA/PIASA and Exam Retakers!
#DiscoverAtlasCDC
#ExperienceAtlasCDC https://t.co/F74WbJZNuP"
83,When will the face-to-face classes come back? I don't want to enroll in an online class. 😅
84,Our school's gonna do blended learning I don't know how am I gonna survive that just imagine there's face to face and then online classes as well this is so fucked up
85,@J_AsahiPon I will be a hybrid unicorn 🥺 hybrid classes means you have f2f at the same time but you are an online class
86,"Experience the Lycean journey as we commence the hybrid learning modality this coming semester through face-to-face classes and online learning.

https://t.co/jE6AEwYQpG #LearnDifferentLiveDifferent"
87,"I'll resume our online classes this weekend. I'm still looking for the most comforting words that I can share sa klase, despite what's happening. 🥹🌸"
88,"When I was stressed about doing a thesis, even when I cried because there were so many problems with online classes (no internet, gadgets, weak signal) — it's just pointless. Education can be faked. I hope you are happy and sleep well."
89,@ShopeePH i want to win dahil as a stay at home mom need ko po ng side hustle for extra income and having this tablet would mean opportunity for me to enroll online classes that would help me find a job+ #ShopeePeekAPrize
90,"And i back to my online classes again, teacher nga pala acoe 🫠"
91,"Step 9: ✅
Online Interview Classes
26 July 2020 https://t.co/kHPyhQ7Msr"
92,online classes at home destroyed my ability yo pay attention 😭
93,"I'm not against f2f classes per se, I think the 3rd yr and 4th yr need that, but us lower years?? Can it still be online dba? Or if others want to f2f them, I would like to keep the online one for those who can't afford the physical classes."
94,Very appreciative of the ability to have online classes but they exhaust me way more than face to face. Requires twice the energy of a regular social interaction but only a fraction as satisfying.
95,"HUHU. ORG ROOM DAYS.🥺
free hugs and jamming sessions sa org room.🥺 I'm very lucky to have spent my HS and college life in UST Campus. I don't think I'll survive online classes."
96,"this activity of the profs is layer upon layer, let's bet it will end. not immediately.....✌✌
#OnlineClasses #LabanStudyante"
97,"Bring #HopiaHappiness during your kids' online classes and spread good vibes to everyone around them 🥰

Same day delivery in 📍BULACAN, 📍PAMPANGA, 📍NCR.

Mongo Special and Ube hopia po AVAILABLE.😋☺️ @ Bulacan https://t.co/KairhHfjIh"
98,@gemhostofficial IPad bigger screen especially for online classes.
99,"@PLDT_Cares @pldt @PLDTEnt_Cares @PLDTHome @iamMVP 

PLDT!!! Your rubbish service ruined my undertakings and online classes of my children!!! https://t.co/NSUJ7x6s8C"
100,"started the pandemic at 18 and if online classes continue until next year i am poised to have my ""how can a person know everything at 18 and nothing at 22"" moment"
101,"Yes, the online classes have been moved! HAHAHAHA"
102,"What about #BBMSaBalota fans? HAHA. Is this how you want a president? Only normal citizens can attend zoom meetings, can wfh, and can attend online classes even if they have a fever or have covid, is BBM right? Rock it! Online just can't do it yet. HAHA https://t.co/3qtubvC9Gy"
103,Hey @talk2GLOBE  we cant have our online classes 2 weeks in a row cause of your intermitent net connection.  We dont @enjoyGLOBE  😤 https://t.co/DmmTxxFZAQ
104,Online class 😂#Onlineclasses #DogsofTwittter #americanbully #dogs https://t.co/auFSLDdJg9
105,"My nephew can't take online classes now, due to the weakness of Converge's internet connection. They use that platform for online classes, it won't open. They say they still have an examination now.. Tsk tsk tsk."
106,"I will be trying something new tomorrow in class. Road to live streamer itey! 😅 Online classes actually have more prep work, but only against! ✊🏽"
107,What converges? My online classes are no longer available! 🤬
108,"The outage of Facebook and ig  will have significant implications on the online elesrning setup today as lots of teachers, students, parents heavily rely on Messenger group chats, FB groups. Classes got to be suspended"
109,"Done with my online class. First day high. We will be having synchronous and asynchronous classes. Nice! I used to only hear about it from my nephews, now I can experience it. 🙂 https://t.co/Dfvf3EwqCI"
110,"It's the beginning of another added stress in life. When I get home, I immediately have a zoom meeting for online classes hahaha. https://t.co/6K8scHxHPv"
111,"WELCOME BACK, TUPIANS! 

The 20th day of September marks the official start of online classes. Puhon wants to know if how your first day of school went. Reply on this tweet to share your experience! 

We hope that you had memorable and interesting beginning! Puhon, TUPians! https://t.co/y3cloFhHfO"
112,"Sir Peter on online kopyahan:

""When the values at home are weak, online classes will not succeed""

""Cheaters never win"""
113,Received 3 certificates from the online classes that I took! So proud of myself.
114,6PM Online Classes 📚
115,"What I love abt online classes is that, you can enter without taking a shower because once you take a shower, you will erase what you studied all night 😂
I really don't like morning classes 😴💤
😂😂😂"
116,@PLDT_Cares Any updates on ticket 40526139? I am working from home and my son has online classes. Make sure that the days we dont have connection should be taken out from my bill. @iamMVP
117,Then now online english schools for children and other extra classes are banned in China. I wonder what happened to that Linda…. 🥲
118,@PLDT_Cares @PLDTHome Our internet connection and telephone is not working. Our account is up to date and we have no balance as of speaking. Online classes will start soon and this needs to be addressed ASAP.
119,These are practical measures to take. At some point face to face classes or a hybrid is required given the challenges of full online learning mode. @DepEd_PH
120,My brother's school requires lanyards. It will be used for online classes
121,IM NOT YET READY TO GO ONLINE CLASSES AGAIN TOM 😭🤣 hahahahxhx char!
122,@BaebyDaegu It's online classes now chz hahahahahahahahaha I'll write in the water 🥺
123,"Congratulations, Kuya JB! 🎉👨‍🎓
Keep moving forward! 😇
We love you! 💗

#OnlineClasses #NewNormal #MovingUp2021
#Grade10 #JuniorHighSchool #VirtualMovingUp 
#BlessedAndGrateful #ProudMama https://t.co/hkadwq1lyJ"
124,@DenielMorillo Is there still a prerog for online classes?
125,"📣ADMISSION IS STILL ONGOING!📣

1 Month to go till our class starts on August 16, 2021. Hurry up and be part of the Ruizian Community!

Choose SanLo!

Sign up to register: https://t.co/mXD0elbdfv

#SanLoCares
#CollegeAdmissions
#EnrollmentOngoing
#FlexibleLearning
#OnlineClasses https://t.co/5vdQVYlyxr"
126,Many recorded live online classes need to observe. 27 in all.
127,"After watching recorded live online classes, I realized even more that I don't want to teach. HAHA"
128,"Whatever our problems are, God will take care of us. God bless you. Have a great week ahead.😉

#TuesdayMotivation #TuesdayFeels #KeepTheFaith #TruthTuesday #TuesdayQuotes #TalkTuesday #ADayAtWork #BlessedTuesday #onlinecounseling #onlinecoaching #onlinelearning #OnlineClasses https://t.co/SZhIY7fsoc"
129,"@Converge_CSU hello! Can your technician check the converge in our place? We have no internet connection since Monday evening, 28 June/21. It disrupted our online classes and work."
130,"Online edu. isn't working for Indian medical students enrolled in the universities in China.They've been pleading to allow them to return for in-person classes as lab work can't be done virtually.
I urge @MEAIndia &amp; @MFA_China to kindly help them.
#StudentsPowerNationPower"
131,@PLDT_Cares Hi! How come we don’t have an internet connection right now? Our phone is ❌ too! ☹️ I hope you could fix this as soon as possible. My kids have online classes tomorrow.
132,now online classes
133,"Congratulations my Amaya mommy is so thankful for this i love you muwaaah
#online #onlineclasses #grade4 #virtualrecognition2021 @fulgencioamaya @ L.Santos St. Tangos Navotas https://t.co/NQjyz04IWS"
134,"@DITOphofficial @DITOforyou What happened? Last night you suddenly lost signal and then came back but that's the speed. I hope today (Thursday) will be fine because I have online classes and there are a lot of them. This is my net connection, hope you'll notice my tweet 😔 https://t.co/N2iW0fMb1z"
135,"The ICY child is smart, closely-guided, well-rounded, and kind. Whether learning onsite or online, she remains bright, curious and positive about the world we live in. 
Because at ICY, at-home learning is made better.
#BetterWithICY
#Onlineclasses 

https://t.co/GAGOFW7LJB https://t.co/kRlRx9XPRI"
136,"At-home learning is made better at Integrated Center for the Young! 

#BetterWithICY
#LearningfromHomeWithICY
#Preschool #GradeSchool
#Onlineclasses 

For inquiries, please call the numbers below 👇🏻 https://t.co/6zDzO3s6Y0"
137,"I don't know if I want to go back to school again. I'm really struggling with online classes. Besides, the prof in one class is really mad because he is the prof there forever."
138,"Wanna talk to Sasha? 😊
Enroll now at VS Training Center!

Like, Follow, and Share our page. 😍
https://t.co/hJ639SIgw9

#OnlineClasses #workfromhome #LearnAtHome #CSR #virtualassistant #virtualassistantlife  #foreignlanguage #digitalmarketing https://t.co/8YZZlM8rhQ"
139,"Wanna rock the VA Industry? 🏆
Enroll now at VS Training Center!

Like, Follow, and Share our page. 😍
https://t.co/hJ639SIgw9

#OnlineClasses #workfromhome #LearnAtHome #CSR #virtualassistant #virtualassistantlife  #foreignlanguage #digitalmarketing https://t.co/GpW2NaurKP"
140,"I can understand d struggles students go thru w/ online learning. The home isn't conducive 4 online classes, 2 many distractions. Same w/ WFH, Hubby prefers his office bec everything he needs is there, + our small place makes it awkward when we have simultaneous virtual meetings."
141,"Converge helps me in many ways:
1. eloading business 
2. Online classes / WFH
3. online classes from local students
4. Videocalling froM FAMILY
5. Mobile Legends online gaming
#ExperienceBetter 
#ownyourfast2021 
#FiberX1500 https://t.co/S1iMr9j8Bj"
142,ok but the energy of this acc got me through online classes
143,"After a year of online class, I was revived to continue medtek bc of these limited f2f classes. ☺️ https://t.co/u3lRcE3oqp"
144,"Omg ! Brownout! They warned us yesterday of rotational brownouts. Online consults, online classes, vaccines, etc will be greatly affected. Not to mention this agonizing heat! 😡"
145,"@pscd87 It's good that online classes are over this schoolyear, but it's a double headache!"
146,"ONLINE CLASSES WILL NEVER BE EASY !!! NACOCOMPROMISE
- device
- lesson
- platform
- teachers
- students
- EDUCATION 

tangINA LANG"
147,@SKYserves Please we do not have internet connection. I'm having online meeting and my children are in their online classes.
148,"before I could go swimming on vacation, I was completely overwhelmed with these online classes. ☺️☺️"
149,Only with online classes will I be able to finish my MS without stepping foot on the DLSU campus ☠☠☠
150,"I hope that the research done by the students this year on their research subjects regarding the effectiveness of the online class can be forwarded to CHED when they found out that it is not really effective, especially since they will not return to traditional f2f classes. 🥲"
151,La tanga?? Is there really no chance to have a f2f class? JUSQ ACTUALLY THE ONLINE CLASSES GAVE ME THE THOUGHT THAT I MAY NOT HAVE A FUTURE 🤦 SO HARD SO HARD
152,"someone who has been unfortunate to experience online classes while taking up a Masters in COMMUNITY DEV’T, I’m so mad.

Do you know how frustrating it is to not be able to go on the ground and immerse with communities while grasping CD theories and perspectives?"
153,Selfie first before students fail a module. Jk! but CHED is a bigger joke #OnlineClasses #Module #CHED https://t.co/njIie71j16
154,"For my friends and acquaintances who are taking online classes, I'd like to pat you at the back for making it this far. Good job! ❤️"
155,#PrettyBrie #MyMaldita #ArtProject  #ThursdayMotivation #NewNormal #OnlineClasses https://t.co/amy9OXDs42
156,"My electrician working student is very proud 🥺 There are students who have given up because their mental health couldn't handle the online classes, but he just keeps going because they say ""there's no fight if you don't study"" 🥺🥺🥺🥺🥺🥺🥺"
157,"Here's a fact that my students don't know. Sometimes, I saw them submit their assignment around 2 or 3am and I know how terrible their other profs about dealing with online classes. I don't really check their work I just give them perfect scores."
158,@DepEdManda I would like to ask for your advise regarding how to enroll my 4 and a half yrs old daughter in a public kindergarten. I heard that Mandaluyong has online classes and it will be nice see her “interact” with others. Do you have a list of kindergarten? Thank you.
159,How can the education of students whose course is in dire need of personal teacher guidance be crossed in the middle of online classes? Watch my @IWitnessGMA documentary #TheDoctorIsOnline today at 10:15pm after Daddy's Gurl on GMA 7 ❤️🙏🏻 https://t.co/gcH31WjAm9
160,I have managed to gate crash to one of his online classes. He's an awesome and intellectual guy. R.I.P.
161,"@Converge_CSU when do you plan to restore the internet connection here in Manila? Since last night, no internet. It's very frustrating especially now that almost everyone works from home and the classes are online."
162,"Hello, I just want to say that I'm tired of pretending that I'm learning something in my online classes"
163,"As time goes on, I get more and more lazy to teach online.

I WANT TO BE A ULER TEACHING FACE TO FACE CLASSES"
164,batch 4 numbawaaaan!!! 😩 promise online classes are hard but when they are with me I finish all the work immediately 😩❤️ I love my batch mates but I'm still really b4✨
165,@MandaluyongPIO Hello. Could you please provide information regarding virtual school for my 4yrs old daughter? I hard that you will provide online classes. Thank you in advance.
166,"After Semana Santa, our children are back to school. They will face modules and online classes. But wait, how is their studies? Find out about the current education situation from the point of view of a Former Dean of UP MassComm https://t.co/vDAcoR0efw"
167,"@IloveTaguig1 Hi, my niece lost internet at their house. She's a minor and she needs to go to my house so she can continue with her online classes. Her mom will bring her to my house. Is that allowed?"
168,"I'm their grumpy sister nagging at 7am because they're so lazy to attend their online classes.
It would be good if there is something else to do aside from online classes. Nothing.
Can't be ordered 😑

I told my parents not to spoil my siblings. It becomes more reprimanded.
Gril."
169,"Our internet  connection by @Converge_CSU have been helpful for us since we started subscribing Converge FiberX, very good for our work at home and online classes #OwnYourFast #ExperienceBetter https://t.co/tSR7tnjcta"
170,URS Campuses suspended all its online classes anew this coming week. Such a breather for our students. Offline activities must still be offered as alternative. ♥️
171,Sharing my work from home station since it has already been a year when we started conducting online classes. I miss face-to-face classes though. #AcademicTwitter #AcademicChatter #OnlineClasses #WorkFromHome #OnlineTeaching https://t.co/NlI2XE2Wmc
172,Just this semester I can say that I have adjusted well to online classes. How about the old one who tried to start the class early without being prepared. It's always a mix. But you were given a break to prepare ahead and to plan. The refreshing
173,"*Discussing the feasibility of zoom as a platform for online classes*

My prof: Come from Telecoms. They got Captain America but couldn't add towers.

😂"
174,"12 months after online classes started, until now it's nowhere near being compassionate. We are still entering for completion hayyy"
175,"@Converge_CSU why don't you release an official statement if the entire network of converge subscribers is without net not an autobot reply kindly dm us achuchu
People need online classes and online classes these days"
176,Online classes be like
177,"@KaFreebies If given a chance for a $100, I will still use it for the schooling of my 2 sisters sir Ken, 1 in SH &amp; the other 1 is in collage. They need materials for their online classes po. And if magkaroon ng extra cash I could buy them extra phone para di na sila magshare TIA @KaFreebies"
178,I have no brain left for online classes welp
179,Online classes don't really suit me.
180,Are there online classes? How will you survive this harvest? It's early in the morning and I can't wake up anymore. I'm sleepy. Haha 😴 https://t.co/dLBHFxEUcw
181,"Maybe if I continue to be a high school teacher, it might be nice to take virtual online classes or just come back as a student for online classes 💚💜 @ Manhattan Gardens https://t.co/dfjGhrBX8M"
182,"Deped used me today. back to back online classes, world read aloud activity after class, then RPMS National Orientation"
183,One of the pet peeves I've really developed in these online classes is the loud or loud audio :))
184,Students have online classes tomorrow
185,Why isn't there a magna carta for online classes? CHZ
186,"New Normal of Learning: Online Classes 💻 @ Eastwood Greenview, Rodriguez, Rizal https://t.co/Zy9q7ec68O"
187,"az a teacher, I can't brain another afford online year classes"
188,"@ReynBaello why don't the profs make fun? recorded online classes, you see the lazy prof's habit when it happened and I reported doing nothing (sometimes) in class! haha"
189,"groupings are made randomly selected in online class. Face to face classes are hard to reach out when it's like that now that it's an online class, so it's up to you, it's just hard"
190,I just want to get a grant because the pandemic and the online classes are really the only thing.
191,"It's boring to take online classes.
How can you teach online, as time goes on, the number of students attending online will decrease."
192,Parents should be able to engage their kids at home and help them in their online classes. Spending time in the malls in the guise of engagement is a lame excuse to justify in perking up the economy. I won’t risk the lives of my kids for material reasons.
193,"so I hope effective vaccines can be delivered here immediately and f2f classes can be returned, one year of online classes is correct please 🥺"
194,"Calling the attention of Sec.Lorenzana. Please focus on West Philippine Sea instead of the state-u's. Online classes po, wala po kayu makikita sa UP now."
195,"My heart visited me in one of my online classes. He said, I'm sexy. 🤣 https://t.co/5jyN2dzOyT"
196,tues is equal to online class ugh! So to my twitter followers especially if you are a student! It's hard to prepare so please be good in your online classes. You are not the only one who is struggling or lazy. Sometimes me too HAHAHA
197,😅 #OnlineClass #OnlineClasses https://t.co/uRzFcH4Jzq
198,I don't get why it is necessary to videoke so much on weekdays when there are online classes and many people work from home. Demons are really insensitive and inconsiderate
199,i dont even have an attention span anymore mygod fuck online classes
200,Our lines are open since yesterday. And same response was recieved that we have to expect a call. But still no one is calling us. @pldt @PLDTGabayGuro  @PLDTHome @iamMVP online classes are imprtant! Is it hard to understand? Expedite restoration. #PLDTdonotcare #PLDTpoorservice
201,@PLDT_Cares Our lines are open since yesterday. And same response was recieved that we have to expect a call. But still no one is calling us. @pldt @PLDTGabayGuro  @PLDTHome @iamMVP online classes are imprtant! Is it hard to understand? Expedite restoration. #PLDTdonotcare #PLDTpoorservice
202,Second week of teaching online classes in 2021. 1/11/2021 https://t.co/XnKCMCyish
203,Reported this #36930066 yesterday 12nn. Its 123pm now still no restoration service was done. My niece was absent today on her Online classes #pldtSameResponse #pldtdonotcare #PLDTonlycaresforcelebrities #pldtnoresponse @pldt  @PLDT_Cares  @PLDTEnt_Cares  @PLDTGabayGuro  @PLDTHome
204,@pldt @PLDT_Cares  @PLDTEnt_Cares  @PLDTGabayGuro  @PLDTHome  same replies i received since yesterday. Still no action was given. How can you say 3-6days before it will be repaired. You need to expedite restoration because its used for online classes. https://t.co/odgyybI458
